English,Vietnamese,Column 1
,,
Bad,Xấu,
Beautiful,Đẹp,
Broken / Creaky Rising Tone,Ngã,
Buy,Mua,
Can,Có thể,
Can't,Không thể,
Car,Ô tô,
Carry,Mang,
Close (the door),Đóng cửa,
Come,Đến,
Cook,Nấu ăn,
Country,Đất nước / Nước,
Day,Ngày,
Dipping / Questioning Tone,Hỏi,
Do,Làm,
Drink,Uống,
Drive,Lái xe,
Eat,Ăn,
Falling Tone,Huyền,
Fly,Bay (chein - flight),
Go,Đi,
Good / Nice,Tốt,
Goodbye,Tạm biệt,
Heavy / Low Tone,Nặng,
Hello,Xin chào,
House,Nhà,
Hungry,Đói,
I / Me (general),Tôi,
Is / Are,Là,
Know,Biết,
Late,Muộn / Trễ,
Like,Thích,
Listen,Nghe,
Love,yêu,
Meet,Gặp,
Mid / Level Tone,Ngang,
My,Của tôi,
My name,Tên của tôi,
Name,Tên,
Need,Cần,
Nice to meet you,Rất vui được gặp bạn,
No / Don’t,Không,
Open,Mở cửa,
Park,Công viên,
Please,Hãy / Xin,
Please (formal\begging),Vui lòng / Làm ơn,
Read,Đọc,
Rising Tone,Sắc,
Run,Chạy,
See you again,Hẹn gặp lại,
Sell,Bán,
Sit down,Ngồi xuống,
Sleep,Ngủ,
Sorry,Xin lỗi,
Speak / Tell / Talk,Nói,
Stand up,Đứng dậy,
Study,Học,
Swim,Bơi,
Take / Get,Lấy,
Thank you,Cảm ơn,
Thirsty,Khát nước,
Today,Ngày hôm nay,
Tomorrow,Ngày mai,
Understand,Hiểu,
Very,Rất,
Wait,Đợi / Chờ,
Wake up,Ngủ dậy / Thức dậy,
Walk,Đi bộ,
Want,Muốn,
Watch,Xem,
Water,Nước,
We,Chúng ta,
Write,Viết,
Yes,Có / Vâng / Dạ,
Yesterday,Hôm qua,
You,Bạn,
You (Friend),Bạn,
Your,Của bạn,
2,,
One,Một,
Two,Hai,
Three,Ba,
Four,Bốn, Tư
Five,Năm,Lăm
Six,Sáu,
Seven,Bảy,
Eight,Tám,
Nine,Chín,
Ten,Mười,
Hundred,Trăm,
Thousand,Nghìn / Ngàn,
Million,Triệu,
3,,
When,"Khi nào?
Bao giờ?
Lúc nào?",End or start
Why,"Tại sao?
Vì sao?",start
